开始记录: 2025-04-06 21:06:39
Successfully loaded game state from D:\codes\codes_pycharm\da_chuang\Legend_of_Zelda\Legend_of_Zelda.gb.state
---------------------------------------------------------------------
Sprite [13]: Position: (103, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [13]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (105, 40),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (113, 40),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (59, 36),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (67, 36),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (58, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (66, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (105, 41),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (113, 41),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (59, 36),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (67, 36),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (106, 41),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (114, 41),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (59, 36),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (67, 36),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (59, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (67, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (106, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (114, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (106, 41),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [16]: Position: (114, 41),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [17]: Position: (60, 36),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [18]: Position: (68, 36),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [19]: Position: (105, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (113, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (59, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (67, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (106, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (114, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (106, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [16]: Position: (114, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [17]: Position: (106, 41),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [18]: Position: (114, 41),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [19]: Position: (60, 36),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [20]: Position: (68, 36),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [21]: Position: (59, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (67, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (106, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (114, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (106, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [16]: Position: (114, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [17]: Position: (106, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [18]: Position: (114, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [19]: Position: (107, 42),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [20]: Position: (115, 42),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [21]: Position: (60, 36),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [22]: Position: (68, 36),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (107, 42),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [14]: Position: (115, 42),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [15]: Position: (61, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [16]: Position: (69, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [17]: Position: (106, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [18]: Position: (114, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [19]: Position: (107, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [20]: Position: (115, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [21]: Position: (60, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (68, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (107, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (115, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (107, 43),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [16]: Position: (115, 43),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [17]: Position: (61, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [18]: Position: (69, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [19]: Position: (107, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [20]: Position: (115, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [21]: Position: (60, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (68, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (107, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (115, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (107, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [16]: Position: (115, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [17]: Position: (108, 43),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [18]: Position: (116, 43),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [19]: Position: (62, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [20]: Position: (70, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [21]: Position: (60, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (68, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (107, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (115, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (107, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [16]: Position: (115, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [17]: Position: (108, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [18]: Position: (116, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [19]: Position: (108, 43),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [20]: Position: (116, 43),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [21]: Position: (62, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [22]: Position: (70, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (108, 44),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [14]: Position: (116, 44),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [15]: Position: (62, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [16]: Position: (70, 37),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [17]: Position: (108, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [18]: Position: (116, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [19]: Position: (108, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [20]: Position: (116, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [21]: Position: (62, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (70, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (108, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (116, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (109, 44),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (117, 44),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (63, 37),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (71, 37),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (108, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [20]: Position: (116, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [21]: Position: (62, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (70, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (108, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (116, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (109, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (117, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (109, 44),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (117, 44),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (63, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (71, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (62, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [22]: Position: (70, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (108, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [14]: Position: (116, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [15]: Position: (109, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (117, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (109, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (117, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (109, 45),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (117, 45),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (64, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (72, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (110, 45),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (118, 45),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (64, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (72, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (109, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (117, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (109, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (117, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (110, 45),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (118, 45),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (65, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (73, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (109, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (117, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (110, 46),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [18]: Position: (118, 46),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [19]: Position: (65, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (73, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (64, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (72, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [16]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [17]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (110, 46),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [20]: Position: (118, 46),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [21]: Position: (65, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [22]: Position: (73, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
---------------------------------------------------------------------
Sprite [13]: Position: (110, 46),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [14]: Position: (118, 46),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [15]: Position: (66, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [16]: Position: (74, 38),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: True
Sprite [17]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [18]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [19]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (65, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (73, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (111, 47),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [16]: Position: (119, 47),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [17]: Position: (66, 38),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [18]: Position: (74, 38),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [19]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [20]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [21]: Position: (65, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (73, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (111, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [16]: Position: (119, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
Sprite [17]: Position: (111, 47),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [18]: Position: (119, 47),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [19]: Position: (67, 38),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [20]: Position: (75, 38),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: True
Sprite [21]: Position: (65, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [22]: Position: (73, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
---------------------------------------------------------------------
Sprite [13]: Position: (110, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [14]: Position: (118, -16),Tiles: (Tile: Tile: 68, Tile: Tile: 69), On screen: False
Sprite [15]: Position: (111, -16),Tiles: (Tile: Tile: 70, Tile: Tile: 71), On screen: False
